10019,10030,0100 1
10019,10104,0010 1
1002,20198,0010 1
1002,7374,0010 1
10020,20198,0010 1
10020,31185,0010 8
10020,31185,0100 8
10021,10028,0010 4
10022,10030,0100 1
10022,10104,0010 1
10023,10030,0100 1
10023,10104,0010 1
10024,10137,0100 2
10024,15787,0010 3
10025,31403,0100 1
10026,10076,0100 3
10026,10084,0100 3
10026,27021,0010 5
10027,10029,0010 4
10027,27021,0010 2
10027,27124,0100 4
10027,31388,0100 8
10028,31387,0010 8
1003,20198,0010 5
1003,23492,0100 1
1003,7374,0010 1
10030,10063,0010 1
10030,10066,0100 6
10030,10082,0010 1
10030,10123,0010 1
10030,23495,0100 4
10030,26180,0010 3
10030,31688,0100 6
10031,11972,0010 2
10031,15787,0010 2
10031,15792,0010 2
10032,11972,0100 3
10032,15787,0010 3
10032,15792,0010 3
10032,20198,0010 2
10032,20198,0100 3
10032,23611,0100 3
10033,20198,0010 4
10033,31185,0010 5
10034,10059,0100 6
10034,10067,0100 8
10035,10038,0100 25
10035,10052,0010 5
10035,10052,0100 11
10035,10054,0010 22
10035,10060,0100 1
10035,10062,0010 10
10035,20198,0010 3
10036,10047,0100 4
10036,10048,0100 5
10036,10055,0100 5
10036,10056,0100 6
10036,10070,0010 16
10036,10130,0010 20
10037,10121,0010 18
10037,24253,0010 1
10038,10049,0010 4
10038,10052,0010 114
10038,10060,0100 69
10038,10063,0100 13
10038,10065,0100 66
10038,10066,0100 3
10038,10067,0100 6
10038,10123,0010 3
10038,20198,0010 143
10038,24247,0010 2
10038,31184,0100 1
10039,10050,0010 2
10039,10051,0010 8
10039,10061,0100 8
10039,10064,0100 2
10039,20198,0010 10
1004,1005,0010 1
1004,32646,0100 1
10040,10042,0100 121
10040,10045,0010 92
10040,10054,0100 10
10040,10058,0010 27
10040,10089,0010 12
10040,20198,0010 3
10041,10043,0100 8
10041,10046,0010 8
10042,10052,0100 117
10042,10054,0100 4
10042,20198,0010 4
10043,10053,0100 8
10044,10059,0100 5
10044,10067,0100 5
10044,20198,0010 10
10044,26180,0010 5
10045,20198,0010 92
10045,26180,0010 92
10045,27518,0010 92
10045,31631,0010 16
10046,20198,0010 8
10046,26180,0010 8
10046,27518,0010 16
10046,31631,0010 2
10047,10059,0100 4
10047,10067,0100 4
10047,20198,0010 2
10048,10059,0100 5
10048,10067,0100 5
10049,10055,0010 1
10049,10056,0010 3
10049,10067,0100 4
1005,25764,0100 1
10050,10052,0010 1
10050,10060,0010 1
10050,10065,0010 137
10050,31688,0100 274
10051,10053,0010 8
10052,10054,0010 2
10052,10054,0100 10
10052,20198,0010 3
10052,31184,0100 2
10054,10062,0100 10
10054,20198,0010 18
10055,31185,0100 2
10056,31185,0100 3
10057,27518,0010 18
10058,10059,0010 27
10058,20198,0010 27
10059,20198,0010 27
10059,24249,0010 1
1006,20770,0010 26
10060,10063,0100 46
10060,10065,0100 21
10060,26180,0010 4
10060,31184,0100 3
10061,10064,0100 8
10061,20198,0010 2
10063,10065,0100 50
10063,10066,0100 8
10063,20198,0010 2
10063,31184,0100 7
10064,10066,0100 11
10064,20198,0010 10
10065,31184,0100 18
10066,10068,0100 25
10066,10121,0010 50
10066,31184,0100 4
10066,31688,0100 98
10067,10123,0010 3
10067,24247,0010 2
10069,10104,0010 5
10069,31185,0100 5
1007,7374,0010 1
10070,11972,0010 1
10070,20198,0100 1
10070,31185,0010 1
10070,31631,0010 32
10072,17554,0010 2
10072,20198,0010 5
10072,20198,0100 4
10072,30115,0010 1
